Kod_PPD	No_Pusat	Nama_Pusat	Bil_Calon_Pusat	Nama_Bilik_Kebal	Dikemaskini_Oleh	Tarikh_Kemaskini
BA	BA001	SEKOLAH MENENGAH KEBANGSAAN DATO HAMZAH	186			
BA	BA005	SEKOLAH MENENGAH KEBANGSAAN METHODIST (ACS)	192			
BA	BA009	SEKOLAH MENENGAH KEBANGSAAN CHUNG HWA	117			
BA	BA010	SEKOLAH MENENGAH KEBANGSAAN CHUNG HWA	217			
BA	BA013	SEKOLAH MENENGAH KEBANGSAAN CONVENT	215			
BA	BA017	SEKOLAH MENENGAH KEBANGSAAN TINGGI KLANG	178			
BA	BA021	SEKOLAH MENENGAH KEBANGSAAN KWANG HUA	212			
BA	BA022	SEKOLAH MENENGAH KEBANGSAAN KWANG HUA	188			
BA	BA023	SEKOLAH MENENGAH KEBANGSAAN KWANG HUA	214			
BA	BA025	SEKOLAH MENENGAH KEBANGSAAN LA SALLE	122			
BA	BA029	SEKOLAH MENENGAH KEBANGSAAN (P) METHODIST	242			
BA	BA033	SEKOLAH MENENGAH KEBANGSAAN (P) BUKIT KUDA	136			
BA	BA037	SEKOLAH MENENGAH KEBANGSAAN (P) RAJA ZARINA	140			
BA	BA038	SEKOLAH MENENGAH KEBANGSAAN (P) RAJA ZARINA	152			
BA	BA041	SEKOLAH MENENGAH KEBANGSAAN MERU	187			
BA	BA042	SEKOLAH MENENGAH KEBANGSAAN MERU	192			
BA	BA043	SEKOLAH MENENGAH KEBANGSAAN MERU	198			
BA	BA044	SEKOLAH MENENGAH KEBANGSAAN MERU	202			
BA	BA045	SEKOLAH MENENGAH KEBANGSAAN PULAU KETAM	44			
BA	BA049	SEKOLAH MENENGAH KEBANGSAAN RAJA MAHADI	172			
BA	BA050	SEKOLAH MENENGAH KEBANGSAAN RAJA MAHADI	201			
BA	BA053	SEKOLAH MENENGAH KEBANGSAAN RAJA LUMU	122			
BA	BA057	SEKOLAH MENENGAH KEBANGSAAN TENGKU AMPUAN RAHIMAH	148			
BA	BA058	SEKOLAH MENENGAH KEBANGSAAN TENGKU AMPUAN RAHIMAH	96			
BA	BA061	SEKOLAH MENENGAH KEBANGSAAN TENGKU AMPUAN JEMAAH	184			
BA	BA062	SEKOLAH MENENGAH KEBANGSAAN TENGKU AMPUAN JEMAAH	136			
BA	BA065	SEKOLAH MENENGAH KEBANGSAAN TENGKU IDRIS SHAH	195			
BA	BA066	SEKOLAH MENENGAH KEBANGSAAN TENGKU IDRIS SHAH	199			
BA	BA069	SEKOLAH MENENGAH KEBANGSAAN SULTAN ABDUL SAMAD	157			
BA	BA073	SEKOLAH MENENGAH KEBANGSAAN PULAU INDAH	171			
BA	BA074	SEKOLAH MENENGAH KEBANGSAAN PULAU INDAH	189			
BA	BA081	SEKOLAH MENENGAH KEBANGSAAN RANTAU PANJANG	234			
BA	BA082	SEKOLAH MENENGAH KEBANGSAAN RANTAU PANJANG	201			
BA	BA083	SEKOLAH MENENGAH KEBANGSAAN RANTAU PANJANG	113			
BA	BA085	SEKOLAH MENENGAH KEBANGSAAN (P) KAPAR	201			
BA	BA089	SEKOLAH MENENGAH KEBANGSAAN PENDAMARAN JAYA	150			
BA	BA090	SEKOLAH MENENGAH KEBANGSAAN PENDAMARAN JAYA	161			
BA	BA093	SEKOLAH MENENGAH KEBANGSAAN TELOK GADONG	244			
BA	BA094	SEKOLAH MENENGAH KEBANGSAAN TELOK GADONG	226			
BA	BA097	KOLEJ ISLAM SULTAN ALAM SHAH	231			
BA	BA098	KOLEJ ISLAM SULTAN ALAM SHAH	84			
BA	BA101	SEKOLAH MENENGAH KEBANGSAAN JALAN KEBUN	227			
BA	BA102	SEKOLAH MENENGAH KEBANGSAAN JALAN KEBUN	216			
BA	BA103	SEKOLAH MENENGAH KEBANGSAAN JALAN KEBUN	198			
BA	BA105	SEKOLAH MENENGAH KEBANGSAAN SRI ANDALAS	207			
BA	BA106	SEKOLAH MENENGAH KEBANGSAAN SRI ANDALAS	166			
BA	BA109	SEKOLAH MENENGAH KEBANGSAAN TAMAN KLANG UTAMA	130			
BA	BA110	SEKOLAH MENENGAH KEBANGSAAN TAMAN KLANG UTAMA	138			
BA	BA113	SEKOLAH MENENGAH KEBANGSAAN KAMPUNG JAWA	184			
BA	BA114	SEKOLAH MENENGAH KEBANGSAAN KAMPUNG JAWA	174			
BA	BA117	SEKOLAH MENENGAH KEBANGSAAN KOTA KEMUNING	240			
BA	BA118	SEKOLAH MENENGAH KEBANGSAAN KOTA KEMUNING	246			
BA	BA119	SEKOLAH MENENGAH KEBANGSAAN KOTA KEMUNING	247			
BA	BA121	SMK BANDAR BARU SULTAN SULEIMAN	177			
BA	BA125	SEKOLAH MENENGAH KEBANGSAAN SUNGAI KAPAR INDAH	237			
BA	BA126	SEKOLAH MENENGAH KEBANGSAAN SUNGAI KAPAR INDAH	230			
BA	BA129	SEKOLAH MENENGAH KEBANGSAAN SHAHBANDARAYA	157			
BA	BA129	SM ZENITH, KLANG	9			
BA	BA130	SEKOLAH MENENGAH KEBANGSAAN SHAHBANDARAYA	204			
BA	BA134	SEKOLAH MENENGAH KEBANGSAAN BATU UNJUR	196			
BA	BA135	SEKOLAH MENENGAH KEBANGSAAN BATU UNJUR	133			
BA	BA138	SAMT SULTAN HISAMUDDIN	147			
BA	BA140	SAM SULTAN HISAMUDDIN	127			
BA	BA142	SAM NURUL IMAN	90			
BA	BA145	MAAHAD INTEGRASI TAHFIZ SAINS DAN TEKNOLOGI KLANG	50			
BA	BA148	SEKOLAH MENENGAH KEBANGSAAN BUKIT TINGGI KLANG	123			
BA	BA149	SEKOLAH MENENGAH KEBANGSAAN BUKIT TINGGI KLANG	153			
BA	BA152	SEKOLAH MENENGAH KEBANGSAAN BUKIT KAPAR	102			
BA	BA153	SEKOLAH MENENGAH KEBANGSAAN BUKIT KAPAR	138			
BA	BA550	SM PIN HWA	99			
BA	BA552	SM HIN HUA	142			
BA	BA553	SM HIN HUA	242			
BA	BA554	SM KWANG HUA	88			
BA	BA556	SM CHUNG HUA (PSDN)	66			
BA	BA560	SM IBN KHALDUN	104			
BA	BA564	SM HAFIZ	56			
BA	BA566	SEKOLAH METHODIST WESLEY	35			
BA	BA568	SM SRI ACMAR	55			
BA	BA570	SM BEACONHOUSE SRI LETHIA	45			
BB	BB001	SEKOLAH MENENGAH KEBANGSAAN METHODIST	203			
BB	BB009	SEKOLAH MENENGAH KEBANGSAAN TANJUNG SEPAT	126			
BB	BB013	SEKOLAH MENENGAH KEBANGSAAN SUNGAI MANGGIS	145			
BB	BB017	SEKOLAH MENENGAH KEBANGSAAN JENJAROM	199			
BB	BB018	SEKOLAH MENENGAH KEBANGSAAN JENJAROM	193			
BB	BB021	SEKOLAH MENENGAH KEBANGSAAN JUGRA	144			
BB	BB022	SEKOLAH MENENGAH KEBANGSAAN JUGRA	185			
BB	BB025	SEKOLAH MENENGAH KEBANGSAAN TELOK DATOK	51			
BB	BB029	SEKOLAH MENENGAH KEBANGSAAN BATU LAUT	107			
BB	BB033	SEKOLAH MENENGAH KEBANGSAAN TELOK PANGLIMA GARANG	167			
BB	BB034	SEKOLAH MENENGAH KEBANGSAAN TELOK PANGLIMA GARANG	198			
BB	BB035	SEKOLAH MENENGAH KEBANGSAAN TELOK PANGLIMA GARANG	182			
BB	BB037	SEKOLAH MENENGAH KEBANGSAAN BUKIT CHANGGANG	182			
BB	BB038	SEKOLAH MENENGAH KEBANGSAAN BUKIT CHANGGANG	164			
BB	BB039	SEKOLAH MENENGAH KEBANGSAAN BUKIT CHANGGANG	119			
BB	BB041	SEKOLAH MENENGAH KEBANGSAAN PULAU CAREY	29			
BB	BB045	SEKOLAH MENENGAH KEBANGSAAN BANTING	122			
BB	BB046	SEKOLAH MENENGAH KEBANGSAAN BANTING	117			
BB	BB049	SEKOLAH MENENGAH KEBANGSAAN SIJANGKANG JAYA	173			
BB	BB050	SEKOLAH MENENGAH KEBANGSAAN SIJANGKANG JAYA	209			
BB	BB051	SEKOLAH MENENGAH KEBANGSAAN SIJANGKANG JAYA	112			
BB	BB053	SEKOLAH MENENGAH KEBANGSAAN BANDAR BANTING	174			
BB	BB054	SEKOLAH MENENGAH KEBANGSAAN BANDAR BANTING	201			
BB	BB057	SAMT TENGKU AMPUAN RAHIMAH	156			
BB	BB061	SAM UNWANUS SAADAH	106			
BB	BB065	MAAHAD INTEGRASI TAHFIZ SELANGOR ISTANA BANDAR (MITTS)	44			
BB	BB065	MAAHAD IMTIYAZ INTEGRASI ILMUAN ULUL ALBAB	24			
BB	BB069	SEKOLAH MENENGAH SAINS BANTING	179			
BB	BB073	SEKOLAH MENENGAH KEBANGSAAN BANDAR SAUJANA PUTRA	151			
BB	BB074	SEKOLAH MENENGAH KEBANGSAAN BANDAR SAUJANA PUTRA	212			
BB	BB900	SMK TELOK DATOK (CP)	62			
BB	BB901	SMK BANTING (CP)	121			
BB	BB902	SMK SUNGAI MANGGIS (CP)	93			
BC	BC005	SEKOLAH MENENGAH KEBANGSAAN SULTAN SULAIMAN SHAH	139			
BC	BC009	SEKOLAH MENENGAH KEBANGSAAN SERI DESA	110			
BC	BC013	SEKOLAH MENENGAH KEBANGSAAN SERI TANJUNG	210			
BC	BC017	SEKOLAH MENENGAH KEBANGSAAN DATO HARUN	120			
BC	BC018	SEKOLAH MENENGAH KEBANGSAAN DATO HARUN	132			
BC	BC021	SEKOLAH MENENGAH KEBANGSAAN RAJA MUDA MUSA	205			
BC	BC021	KOLEJ VOKASIONAL KUALA SELANGOR	10			
BC	BC022	SEKOLAH MENENGAH KEBANGSAAN RAJA MUDA MUSA	58			
BC	BC025	SEKOLAH MENENGAH KEBANGSAAN JERAM	186			
BC	BC029	SEKOLAH MENENGAH KEBANGSAAN SG. BURONG	85			
